,end_date,count
0,2023-12-11 09:45,7
1,2023-12-11 10:45,1
2,2023-12-11 11:00,1
3,2023-12-11 11:30,1
4,2023-12-11 11:45,23
5,2023-12-11 12:30,3
6,2023-12-11 13:15,1
7,2023-12-11 13:45,3
8,2023-12-11 14:15,15
9,2023-12-11 15:15,5
10,2023-12-11 15:45,1
11,2023-12-11 16:00,4
12,2023-12-11 16:15,34
13,2023-12-12 11:45,17
14,2023-12-12 13:00,63
15,2023-12-12 14:15,25
16,2023-12-12 15:00,17
17,2023-12-12 15:15,2
18,2023-12-12 16:00,5
19,2023-12-12 16:15,21
20,2023-12-12 17:15,3
21,2023-12-12 18:00,16
22,2023-12-12 19:45,1
23,2023-12-13 09:45,12
24,2023-12-13 10:00,116
25,2023-12-13 10:45,49
26,2023-12-13 11:00,1
27,2023-12-13 11:45,17
28,2023-12-13 12:30,1
29,2023-12-13 14:15,17
30,2023-12-13 15:15,5
31,2023-12-13 16:00,7
32,2023-12-13 16:15,19
33,2023-12-13 17:00,1
34,2023-12-13 18:00,2
35,2023-12-13 19:45,1
36,2023-12-14 09:45,9
37,2023-12-14 10:45,1
38,2023-12-14 11:45,26
39,2023-12-14 12:30,2
40,2023-12-14 14:15,17
41,2023-12-14 15:00,49
42,2023-12-14 15:15,6
43,2023-12-14 16:00,5
44,2023-12-14 16:15,33
45,2023-12-14 18:00,14
46,2023-12-15 09:45,8
47,2023-12-15 10:45,3
48,2023-12-15 11:45,21
49,2023-12-15 13:15,1
50,2023-12-15 14:15,16
51,2023-12-15 15:15,4
52,2023-12-15 16:00,4
53,2023-12-15 16:15,16
54,2023-12-15 17:15,1
55,2023-12-15 18:00,10
56,2023-12-15 19:45,3
57,2023-12-16 09:45,4
58,2023-12-16 10:45,2
59,2023-12-16 11:45,5
60,2023-12-16 14:00,2
61,2023-12-16 14:15,6
62,2023-12-16 16:00,3
63,2023-12-16 16:15,8
64,2023-12-16 18:00,2
