,end_date,count
0,2023-12-07 09:45,60
1,2023-12-07 10:45,4
2,2023-12-07 11:30,1
3,2023-12-07 11:45,31
4,2023-12-07 13:15,1
5,2023-12-07 14:15,18
6,2023-12-07 15:00,1
7,2023-12-07 15:15,9
8,2023-12-07 16:00,7
9,2023-12-07 16:15,31
10,2023-12-07 19:45,2
11,2023-12-08 09:45,15
12,2023-12-08 11:45,36
13,2023-12-08 14:15,21
14,2023-12-08 15:00,1
15,2023-12-08 15:15,2
16,2023-12-08 16:00,7
17,2023-12-08 16:15,40
18,2023-12-08 19:45,12
19,2023-12-09 09:45,9
20,2023-12-09 11:45,7
21,2023-12-09 14:00,2
22,2023-12-09 14:15,8
23,2023-12-09 16:00,7
24,2023-12-09 16:15,12
25,2023-12-10 16:00,6
26,2023-12-10 16:15,1
27,2023-12-11 09:45,7
28,2023-12-11 10:45,1
29,2023-12-11 11:00,1
30,2023-12-11 11:30,1
31,2023-12-11 11:45,23
32,2023-12-11 12:30,3
33,2023-12-11 13:15,1
34,2023-12-11 13:45,3
35,2023-12-11 14:15,16
36,2023-12-11 15:15,5
37,2023-12-11 15:45,1
38,2023-12-11 16:00,4
39,2023-12-11 16:15,34
40,2023-12-12 11:45,17
41,2023-12-12 13:00,64
42,2023-12-12 14:15,25
43,2023-12-12 15:00,17
44,2023-12-12 15:15,2
45,2023-12-12 16:00,5
46,2023-12-12 16:15,22
47,2023-12-12 17:15,3
48,2023-12-12 18:00,16
49,2023-12-12 19:45,1
50,2023-12-13 09:45,14
51,2023-12-13 10:00,117
52,2023-12-13 10:45,50
53,2023-12-13 11:45,17
54,2023-12-13 12:30,1
55,2023-12-13 14:15,17
56,2023-12-13 15:15,5
57,2023-12-13 16:00,7
58,2023-12-13 16:15,19
59,2023-12-13 17:00,1
60,2023-12-13 18:00,2
61,2023-12-13 19:45,1
